instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persRole,persSuffix,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿san.nm.0156,﻿chapel,﻿Sangre de Cristo,English,,,﻿Tome,,,﻿Valencia,﻿Valencia,﻿NM,,,,﻿san.nm.0155,﻿Attended from Tome,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0158,﻿chapel,not recorded,English,,,﻿Tome,,,﻿Casa Colorada,﻿Casa Colorada,﻿NM,,,,﻿san.nm.0155,﻿Attended from Tome,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0239,﻿chapel,not recorded,English,,,﻿Tome,,,﻿La Peralta,﻿Peralta,﻿NM,,,,﻿san.nm.0155,﻿Attended from Tome,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0215,﻿chapel,not recorded,English,,,,,,﻿Las Cruces,﻿Las Cruces,﻿AZ,,,,,,,﻿pet_lassaigne_001,﻿Rev.,﻿Manuel Chaves,,﻿Pastor,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0216,﻿chapel,not recorded,English,,,,,,﻿Doñand,﻿Dona Ana,﻿NM,,,,,﻿Attended from Las Cruces,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0223,﻿church,﻿Tucson Parish Church,English,,,,,,﻿Tucson,﻿Tucson,﻿AZ,,,,,﻿Attended from Las Cruces,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0222,﻿church,﻿San Javier,English,﻿very fine brick church,﻿Pima Indians,,,,,,﻿AZ,,,,,﻿Attended from Las Cruces,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0224,﻿chapel,﻿Tucson Chapel of San Augustin,English,,,,,,﻿Tubac,﻿Tubac,﻿AZ,,,,,﻿Attended from Las Cruces,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0240,﻿chapel,not recorded,English,,,,,,﻿The Mines,,,,,,,﻿Attended from Las Cruces,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0231,﻿seminary,﻿Preparatory Seminary of San Francisco,English,,,,,,,,,,,,,,,,,,,,,﻿priest,﻿5 seminarians,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0159,﻿college,﻿San Miguel College,English,,,,,,,,﻿NM,,,,,,,,﻿Brother,﻿Hilarien,﻿Director,,,﻿student,﻿about 130 pupils,﻿Under the direction of 6 brothers of the Christian Doctrine,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0241,﻿school,﻿Boys' School,English,,,,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,,,,,,,,,,,,,,,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0160,﻿convent,﻿Convent and Academy of Our Lady of Light,English,"﻿This institution was opened January 1st, 1853",,,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,,,,,,,﻿Sister,﻿Mary Magdalen Hayden,﻿Mother Superior,,,﻿boarder,﻿over 40 boarders and a good number of day scholars,﻿Under the direction of the Sisters of Loretto,,1864,﻿,﻿,﻿Santa Fe,SantaFe
﻿san.nm.0160,﻿convent,﻿Convent and Academy of Our Lady of Light,English,"﻿This institution was opened January 1st, 1853",,,,,﻿Santa Fé,﻿Santa Fé,﻿NM,,,,,,,,,,,,,﻿student,﻿120 pupils,"﻿Young ladies are taught all the branches which constitute a good education, with music, and the English, Spanish, and French languages",,1864,﻿,﻿,﻿Santa Fe,SantaFe
