instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,temp,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stp.mn.0153,﻿church,﻿Church of St. Wenceslaus,English,,,,﻿Scott County,﻿Scott County,﻿New Prague,,,,44.54403,-93.574235,,﻿,,,﻿Rev.,﻿Honoratus Povoling,,,,,,,,1869,47.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0156,﻿church,﻿Church of Purification of B.V.M.,English,,,,﻿Scott County,﻿Scott County,﻿Marystown,,,,44.54403,-93.574235,﻿stp.mn.0149,﻿Visited by Rev. George Sherer,,,,,,,,,,,,1869,48.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0154,﻿church,﻿Church of Saint Patrick,English,,,,﻿Scott County,﻿Scott County,﻿Cedar Lake,,,,44.54403,-93.574235,,﻿,,,﻿Rev.,﻿Augustin Wirth,,,,,,,,1869,49.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0155,﻿church,not recorded,English,,,,﻿Scott County,﻿Scott County,﻿Jordan,,,,44.54403,-93.574235,﻿stp.mn.0151,﻿Visited by Rev. A. Berghold,,,,,,,,,,,,1869,50.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0157,﻿church,not recorded,English,,,,﻿Scott County,﻿Scott County,﻿Clary Settlement,,,,44.764198,-93.482891,﻿stp.mn.0034,﻿Visited by Rev. A. Oster,,,,,,,,,,,,1869,51.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0158,﻿church,﻿Church of St. Nicholas,English,,,,﻿Scott County,﻿Scott County,﻿Newmarket,,,,44.764198,-93.482891,﻿stp.mn.0035,﻿Visited by Rev. P. Bayer,,,,,,,,,,,,1869,52.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0160,﻿church,﻿Church of St. Catharine,English,,,,﻿Scott County,﻿Scott County,﻿Spring Lake,,,,44.764198,-93.482891,﻿stp.mn.0154,﻿Visited by Rev. Augustin Wirth,,,,,,,,,,,,1869,53.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0161,﻿church,not recorded,English,,,,﻿Scott County,﻿Scott County,﻿St. Benedict,,,,44.764198,-93.482891,﻿stp.mn.0153,﻿Visited by Rev. H. Povoling,,,,,,,,,,,,1869,54.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0162,﻿church,not recorded,English,,,,﻿Scott County,﻿Scott County,﻿St. Joseph,,,,44.764198,-93.482891,﻿stp.mn.0151,﻿Visited by Rev. A. Berghold,,,,,,,,,,,,1869,55.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0163,﻿church,not recorded,English,,,,﻿Scott County,﻿Scott County,﻿St. Scholastica,,,,44.764198,-93.482891,﻿stp.mn.0151,﻿Visited by Rev. A. Berghold,,,,,,,,,,,,1869,56.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0092,﻿church,not recorded,English,,,,﻿Le Sueur County,﻿Le Sueur County,﻿Le Sueur,,,,44.764198,-93.482891,﻿stp.mn.0164,"﻿Visited by Rev. T. Venn, of Henderson",,,,,,,,,,,,1869,57.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0093,﻿church,﻿Church of the Nativity,English,,,,﻿Le Sueur County,﻿Le Sueur County,﻿Cleveland,,,,44.764198,-93.482891,﻿stp.mn.0094,"﻿Visited by Rev. P. Maly, of Marysburgh",,,,,,,,,,,,1869,58.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0094,﻿church,﻿Church of St. Patrick,English,,,,﻿Le Sueur County,﻿Le Sueur County,﻿Marysburgh,,,,44.240245,-93.816897,,,,,﻿Rev.,﻿P. Maly,,,,,,,,1869,59.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0095,﻿church,not recorded,English,,,,﻿Le Sueur County,﻿Le Sueur County,﻿St. Henry,,,,44.240245,-93.816897,﻿stp.mn.0094,﻿Visited by Rev. P. Maly,,,,,,,,,,,,1869,60.0,﻿,﻿,﻿StPaul,StPaul
﻿stp.mn.0253,﻿church,not recorded,English,,,,﻿Le Sueur County,﻿Le Sueur County,﻿St. John,,,,44.240245,-93.816897,﻿stp.mn.0151,﻿Visited by Rev. A. Berghold,,,,,,,,,,,,1869,61.0,﻿,﻿,﻿StPaul,StPaul
