instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿erie.pa.0062,﻿church,not recorded,English,﻿a chapel,,,﻿Clarion County,,﻿Red Bank Township,﻿Farmington Township,﻿PA,,41.3580734,-79.2676668,,,,,﻿Rev.,﻿David Snively,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0028,﻿church,not recorded,English,"﻿a new church, in process of erection",,,﻿Clarion County,,﻿Fiscisa,﻿Sigel,﻿PA,,41.2748782,-79.1131619,,,,,﻿Rev.,﻿David Snively,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0009,﻿church,﻿Immaculate Conception,English,,,,﻿Jefferson County,,﻿Brookville,﻿Brookville,﻿PA,,41.1611746,-79.0830924,,,,,﻿Rev.,﻿Father La Magie,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0021,﻿church,not recorded,English,,,,﻿Jefferson County,,﻿Corsica,﻿Corsica,﻿PA,,41.1811753,-79.2022618,,,,,﻿Rev.,﻿David Snively,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0015,﻿church,﻿St. Francis,English,,,,﻿Clearfield County,,﻿Clearfieldboro,﻿Clearfield,﻿PA,,41.019033,-78.439106,,,,﻿tho_tracy_001,﻿Rev.,﻿T. Treacy,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0037,﻿church,﻿St. Bonaventura,English,,﻿Penn Township,,﻿Clearfield County,,﻿Grampian Hills,﻿Grampian,﻿PA,,40.9698648,-78.6455475,,,,﻿tho_tracy_001,﻿Rev.,﻿T. Treacy,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0134,﻿church,﻿St. Stanislaus,English,,,,﻿Clearfield County,,﻿Jordan Township,,﻿PA,,,,,,,﻿tho_tracy_001,﻿Rev.,﻿T. Treacy,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0032,﻿church,﻿St. Mary's,English,,,,﻿Clearfield County,,﻿Frenchville,﻿Frenchville,﻿PA,,41.1047806,-78.2200114,,,,﻿joh_berbigier_001,﻿Rev.,﻿J. Berbigier,,,﻿Leconte's Mills P.O.,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0052,﻿church,﻿St. Severinus',English,,,,﻿Clearfield County,,﻿Morris Township,﻿Morris Township,﻿PA,,40.9460006,-78.2134346,,,,﻿gerst_001,﻿Rev. Father,﻿Gerst,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0035,﻿church,﻿St. Mary's,English,,,,﻿Potter County,,﻿Genesee Township,﻿Genesee Township,﻿PA,,41.9695789,-77.9053182,,,,﻿wil_pugh_001,﻿Rev.,﻿Wm. Pugh,,,"﻿who also attends Coudersport, a station",,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0004,﻿church,﻿St. Mary's,English,,,,﻿M'Kean County,,﻿Annin Township,,﻿PA,,41.8951377,-78.3159411,,,,,﻿Rev.,﻿J. F. McSweeny,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0072,﻿church,﻿St. Aloysius',English,,,,﻿M'Kean County,,﻿Smithport,﻿Smethport,﻿PA,,41.8098186,-78.4438523,,,,,﻿Rev.,﻿J. F. McSweeny,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0044,﻿church,not recorded,English,﻿new church,,,﻿McKean County,,﻿Kane City,﻿Kane,﻿PA,,41.6628394,-78.8111427,,,,,﻿Rev. Father,﻿Voizard,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0085,﻿church,﻿St. Mary's,English,,﻿P.O. Benzinger,,﻿Elk County,,﻿St. Mary's,﻿St. Mary's,﻿PA,,41.42954464,-78.56972001,,,,﻿fer_m_wolf_001,﻿Rev.,﻿Ferdinand Wolf,﻿O.S.B.,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0006,﻿church,﻿St. Boniface's,English,,,,﻿Elk County,,﻿Centreville,,﻿PA,,41.4284924,-78.5660852,,,,,﻿Rev.,﻿Athanasius Hintenach,﻿O.S.B.,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0082,﻿church,﻿Holy Cross,English,,,,﻿Elk County,,﻿Williamsville,﻿Jones Township,﻿PA,,41.5735361,-78.6341996,﻿erie.pa.0085,﻿attended from St. Mary's,,,,,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0069,﻿church,not recorded,English,﻿new church,,,﻿Elk County,,﻿Shawmut,﻿Horton Township,﻿PA,,41.3057398,-78.7249469,,,,,﻿Rev.,﻿Athanasius Hintenach,﻿O.S.B.,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0112,﻿church,not recorded,English,,,,﻿Cameron County,,﻿Shippen,,﻿PA,,41.5239337,-78.3387066,﻿erie.pa.0085,﻿attended from St. Mary's,,,,,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0080,﻿church,﻿St. Joseph's,English,,,,﻿Warren County,,﻿Warrensboro,﻿Warren,﻿PA,,41.8439486,-79.1450445,,,,,﻿Rev. Father,﻿Voisard,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0084,﻿station,not recorded,English,,,,﻿Warren County,,﻿Youngsville,﻿Youngsville,﻿PA,,41.8522808,-79.3186597,,,,,﻿Rev. Father,﻿Voisard,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0135,﻿station,not recorded,English,,,,﻿Warren County,,﻿Pittsfield,,﻿PA,,,,,,,,﻿Rev. Father,﻿Voisard,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0113,﻿church,not recorded,English,﻿new church,,,﻿Warren County,,﻿Tideout,,﻿PA,,,,,,,,﻿Father,﻿Darcy,,,﻿from Corry,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0085_03,﻿priory,﻿Benedictine Priory,English,,﻿Benzinger Township,,,﻿Elk County,﻿St. Mary's,﻿St. Marys,﻿PA,,41.42954464,-78.56972001,,,,﻿fer_m_wolf_001,﻿Rev.,﻿F. M. Wolf,﻿O.S.B.,﻿Prior,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0090,﻿convent,﻿St. Joseph's Convent of Benedictine Nuns,English,,﻿Benzinger P.O.,,﻿Elk County,﻿Elk County,﻿St. Mary's,﻿St. Marys,﻿PA,,41.42954464,-78.56972001,,,,,﻿Mother,﻿Theresa M. Vogel,﻿O.S.B.,﻿Prioress,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0093,﻿academy,﻿St. Benedict's Academy,English,,﻿Benzinger P.O.,,﻿Elk County,﻿Elk County,﻿St. Mary's,﻿St. Marys,﻿PA,,41.42954464,-78.56972001,,,,,﻿Sister,﻿Mary Glenn,﻿O.S.B.,﻿Directress,,﻿religious,﻿Benedictine Nuns,﻿conducted by Benedictine Nuns,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
