instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,Courses,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78189079,-79.93286629,,,,﻿rob_brown_901,﻿Rev.,﻿Robert Brown,,,,,,,,1834,﻿https://www.sma.church/our-history.html,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.78189079,-79.93286629,,,,﻿j_fielding_901,﻿Rev.,﻿J. Fielding,,,,,,,,1834,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,not recorded,English,,,,,﻿Richland County,﻿Columbia,﻿Columbia,﻿SC,﻿SC,34.00550865,-81.03810855,,,,﻿t_bermingham_901,﻿Rev.,﻿T. Bermingham,,,,,,,,1834,﻿https://www.visitstpeters.org/our-history,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9003,﻿church,﻿St. James',English,,,,﻿Colleton District,﻿Colleton County,,﻿Walterboro,﻿SC,﻿SC,32.7767718,-80.662111,,,,,,,,,,,,,,1834,﻿https://schpr.sc.gov/index.php/Detail/properties/26792,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0015,﻿church,not recorded,English,,,,,,﻿Barnwell,﻿Barnwell,﻿SC,,33.2448733,-81.3587177,﻿cha.sc.0001,,﻿visited occasionally,,,,,,,,,,,1834,﻿St. Andrew's | https://en.wikipedia.org/wiki/Saint_Andrew%27s_Catholic_Church,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0002,﻿church,﻿St. Patrick's,English,﻿Mass on Sundays during every second month,,,,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,﻿NC,35.05259752,-78.87660777,,,,﻿joh_mginnis_901,﻿Rev.,﻿John M'Ginnis,,,,,,,,1834,﻿https://www.stpatnc.org/history,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0011,﻿church,not recorded,English,"﻿No church has yet been erected in this district; but the place of its location is fixed at Charlotte, Mecklenberg co.",,﻿Lincoln & Mecklenberg Counties,﻿Mecklenburg County,﻿Mecklenburg County,﻿Charlotte,﻿Charlotte,﻿NC,﻿NC,35.167851,-80.7282461,,,,,,,,,,,,,,1834,﻿Seems like this is a mission of some sort - or a satellite station?,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0004,﻿church,not recorded,English,,,,,﻿Craven County,﻿Newbern,﻿New Bern,﻿NC,﻿NC,35.08457487,-77.0684293,,,,﻿pet_whelan_901,﻿Rev.,﻿P. Whelan,,,,,,,,1834,"﻿While this church would not be built until 1840, the historical research others have done appears to make a clear connection between this early group of Catholics in 1833 and the formation of a congregation, then a church, in a few years. Because it is a precursor, I feel like it is worth giving it the ID: https://newbernhistorical.org/this-month-in-new-bern-history-january-2022/",,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9000,﻿church,not recorded,English,﻿Mass is celebrated on the Sundays of every alternate month,,,﻿Beaufort County,﻿Beaufort County,﻿Washington,﻿Washington,﻿NC,﻿NC,35.55017389,-77.05105976,,,﻿occasionally visited,,,,,,,,,,,1834,﻿https://www.motherofmercync.com/about-us ; missing during the Civil War years because it was burned down,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0070,﻿seminary,﻿Seminary of St. John the Baptist,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,35.55017389,-77.05105976,,,,﻿joh_england_901,﻿Right Rev. Dr.,﻿England,,,,,,,,1834,﻿https://en.wikipedia.org/wiki/Charleston_Female_Seminary ; https://discovering.charleston.edu/files/show/107,"﻿Classics, Mathematics, Arithmetic, English, &c.",﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9002,﻿academy,﻿Young Ladies' French and English Academy,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78424666,-79.93682791,,,,,,,,,,,,﻿conducted by Les Dames de la Retraite,,1834,,"﻿French and English Languages, Sacred and Profane History, Ancient and Modern Geography, Mythology, and all the various kinds of Fancy and Ornamental Needie Work.",﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0039,﻿academy,not recorded,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78424666,-79.93682791,,,,,,,,,,,,﻿under the Sisters of Mercy,,1834,﻿https://olmsisters.wpengine.com/our-history/,"﻿Spelling, Reading, Writing, Arithmetic, English Grammar, Geography, with the use of the Maps and Globes, His-tory, Plain Sewing, Marking, and Needle Work, French.",﻿,﻿,﻿Charleston,Charleston
