instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,Unnamed: 33,Unnamed: 34,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0091,﻿church,﻿St. Thomas' Church,English,,,,,,,﻿Bardstown,﻿KY,﻿KY,37.76659691,-85.48401476,,,,﻿a_a_aud_901,﻿Rev.,﻿A. A. Aud.,,,,,,,,1838,,﻿https://www.saintthomasbardstown.org/ ; https://ia801606.us.archive.org/13/items/historicaltribut00howl/historicaltribut00howl.pdf,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0102,﻿church,﻿St. Benedict,English,,,,﻿Spencer County,﻿Spencer County,,﻿Taylorsville,﻿KY,﻿KY,38.03301885,-85.34467741,,,,﻿j_elliott_901,﻿Rev.,﻿J. Elliott,,,﻿of Fairfield,,,,,1838,,﻿https://www.allsaintstville.org/history,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿nash.tn.9000,﻿church,not recorded,English,,,,,,﻿Nashville,,﻿TN,,36.16652078,-86.78395778,,,﻿visited semi-annually by Rev.  E. J. Durbin,﻿e_j_durbin_901,﻿rev.,﻿E. J. Durbin,,,"﻿dw.[elling] at Morganfield, KY",,,,,1838,,"﻿https://www.hmdb.org/m.asp?m=36240 ; https://en.wikipedia.org/wiki/Cathedral_of_the_Incarnation_(Nashville,_Tennessee)",,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0106,﻿seminary,﻿St. Thomas' Diocesan Seminary,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.766944,-85.483333,,,,﻿wal_s_coomes_901,﻿Rev.,﻿Walter S. Coomes,,﻿President,,﻿students,﻿20 students,,,1838,,﻿https://en.wikipedia.org/wiki/St._Thomas_Church_and_Howard%E2%80%93Flaget_House,"﻿Reading, Writing, Arithmetic, English Grammar, Geography, Book-keeping, Surveying, Mathematics, Latin, Greek and French","﻿Reading, Writing, Arithmetic, English Grammar, Geography, Book-keeping, Surveying, Mathematics, Latin, Greek and French",﻿by the Right Rev. Bishop of Bardstown in 1811,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0107,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,﻿KY,37.69344761,-85.26339642,,,,,﻿Rev.,﻿J. T. Jarboe,,﻿Prior,﻿the Noviceship for the country is kept here,﻿professed,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0107,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69344761,-85.26339642,,,,,﻿Rev.,﻿S. L. Montgomery,,,,﻿lay brothers,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0107,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69344761,-85.26339642,,,,,﻿Rev.,﻿Thomas Polin,,,,﻿lay brothers,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0107,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69344761,-85.26339642,,,,,﻿Rev.,﻿J. H. McGrady,,,,﻿lay brothers,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0107,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69344761,-85.26339642,,,,,﻿Rev.,﻿C. D. Bowlin,,,,﻿lay brothers,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0107,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69344761,-85.26339642,,,,,﻿Rev.,﻿J. V. Bullock,,,,﻿lay brothers,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0107,﻿convent,﻿Dominican Convent,English,,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69344761,-85.26339642,,,,,﻿Rev.,﻿A. G. Alliman,,,,﻿lay brothers,,﻿[under the direction of] the Dominicans,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.81142142,-85.47126817,,,,﻿geo_a_elder_901,﻿Rev.,﻿George A. M. Elder,,﻿President,,﻿students,﻿150 students,,,1838,,"﻿No longer an active institution, now a whiskey museum. Here is info on its history: https://www.jesuits.org/our-work/shmr/what-we-have-learned/st-josephs-college-bardstown-kentucky/ ; https://en.wikipedia.org/wiki/Spalding_Hall","﻿The branches actually taught, are the languages, viz: Latin, Greek, French and Spanish, Mathematics, Latin and English Versification: Rhetoric, including composition and elocution, Mental Philosophy, Natural Philosophy, including the elements of Chemistry, Pneumatics, Electricity, Experimental Philosophy, History and Geography, with the use of the maps and globes, are taught with particular attention.",,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81142142,-85.47126817,,,,,﻿Rev.,﻿J. M. Lancaster,,﻿Vice President,,﻿students,﻿150 students,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81142142,-85.47126817,,,,,﻿Rev.,﻿J. Rogers,,,,﻿students,﻿150 students,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81142142,-85.47126817,,,,,﻿Rev.,﻿C. J. Coomes,,﻿Professor,,﻿students,﻿150 students,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81142142,-85.47126817,,,,,﻿Rev.,﻿Edward A. Clarke,,﻿Professor,,﻿students,﻿150 students,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81142142,-85.47126817,,,,,﻿Rev.,﻿H. De Luynes,,﻿Professor,,﻿students,﻿150 students,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,,37.81142142,-85.47126817,,,,,﻿Rev.,﻿William E. Clarke,,﻿Professor,,﻿students,﻿150 students,,,1838,,,,,,﻿,﻿,﻿Bardstown,Bardstown
