instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿vic.nc.9005,﻿station,not recorded,English,,,,,,﻿Greenville,,﻿NC,,35.05259752,-78.87660777,,﻿attended by Rev. Philip Gillick,,﻿phi_gillick_901,﻿Rev.,﻿Philip Gillick,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0009,﻿station,not recorded,English,,,,,,﻿Halifax,,﻿NC,,35.05259752,-78.87660777,,﻿attended by Rev. Philip Gillick,,﻿phi_gillick_901,﻿Rev.,﻿Philip Gillick,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿vic.nc.0004,﻿church,not recorded,English,,,,,﻿Craven County,﻿Newbern,﻿New Bern,﻿NC,﻿NC,35.08457487,-77.0684293,,﻿attended by Rev. Philip Gillick,,﻿phi_gillick_901,﻿Rev.,﻿Philip Gillick,,,,,,,,1836,,"﻿While this church would not be built until 1840, the historical research others have done appears to make a clear connection between this early group of Catholics in 1833 and the formation of a congregation, then a church, in a few years. Because it is a precursor, I feel like it is worth giving it the ID: https://newbernhistorical.org/this-month-in-new-bern-history-january-2022/",,﻿,﻿,﻿Charleston,Charleston
﻿vic.nc.9007,﻿church,﻿St. John the Evangelist,English,,,,,,﻿Washington,,,,35.08457487,-77.0684293,,﻿attended by Rev. Philip Gillick,,﻿phi_gillick_901,﻿Rev.,﻿Philip Gillick,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0003,﻿church,﻿Holy Trinity Church,English,,,,,﻿Richmond County,﻿Augusta,﻿Augusta,﻿GA,﻿GA,33.47167613,-81.9668056,,﻿attended by John Barry,,﻿joh_barry_901,﻿Rev.,﻿John Barry,,,,,,,,1836,,﻿https://themostholytrinity.org/our-history,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9006,﻿church,not recorded,English,,,,,,﻿Hamburg,,﻿SC,﻿SC,33.47167613,-81.9668056,,﻿attended by John Barry,,﻿joh_barry_901,﻿Rev.,﻿John Barry,,,,,,,,1836,,"﻿https://en.wikipedia.org/wiki/Hamburg,_South_Carolina",,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0021,﻿church,not recorded,English,,,,,,﻿Edgefield,,﻿SC,,33.47167613,-81.9668056,,﻿attended by John Barry,,﻿joh_barry_901,﻿Rev.,﻿John Barry,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0006,﻿church,﻿Church of St. Philip and St. James,English,,,,,,﻿Columbus,﻿Columbus,﻿GA,,32.4609764,-84.9877094,,﻿attended by Rev. Peter Whelan,,﻿pet_whelan_901,﻿Rev.,﻿Peter Whelan,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0004,﻿church,not recorded,English,,,,,,﻿Macon,﻿Macon,﻿GA,,32.8406946,-83.6324022,,﻿attended by Rev. Peter Whelan,,﻿pet_whelan_901,﻿Rev.,﻿Peter Whelan,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9002,﻿church,not recorded,English,,,﻿Western Counties,,,,,﻿GA,,32.8406946,-83.6324022,,﻿attended by Rev. Peter Whelan,,﻿pet_whelan_901,﻿Rev.,﻿Peter Whelan,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
