instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿ral.nc.0018,﻿church,not recorded,English,,,,,,﻿Raleigh,,﻿NC,,35.05259752,-78.87660777,,﻿[visited by] Rev. Francis Farrell,,﻿fra_farrall_901,﻿Rev.,﻿Francis Farrell,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0001,﻿church,not recorded,English,,,,,,﻿Wilmington,,﻿NC,,35.05259752,-78.87660777,,﻿[visited by] Rev. Peter Wheelan,,﻿pet_whelan_901,﻿Rev.,﻿Peter Wheelan,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0001,﻿church,not recorded,English,,,,,,﻿Wilmington,,﻿NC,,35.05259752,-78.87660777,,﻿[visited by] Rev. Francis Farrell,,﻿fra_farrall_901,﻿Rev.,﻿Francis Farrell,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9005,﻿church,not recorded,English,,,,,,﻿Greenville,,﻿NC,,35.05259752,-78.87660777,,﻿[attended by] Rev. Philip Gillick,,﻿phi_gillick_001,﻿Rev.,﻿Philip Gillick,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0004,﻿church,not recorded,English,,,,,﻿Craven County,﻿Newbern,﻿New Bern,﻿NC,﻿NC,35.08457487,-77.0684293,,﻿[attended by] Rev. Philip Gillick,,﻿phi_gillick_001,﻿Rev.,﻿Philip Gillick,,,,,,,,1837,,,"﻿While this church would not be built until 1840, the historical research others have done appears to make a clear connection between this early group of Catholics in 1833 and the formation of a congregation, then a church, in a few years. Because it is a precursor, I feel like it is worth giving it the ID: https://newbernhistorical.org/this-month-in-new-bern-history-january-2022/",,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9007,﻿church,﻿St. John the Evangelist,English,,,,,,﻿Washington,,,,35.08457487,-77.0684293,,﻿[attended by] Rev. Philip Gillick,,﻿phi_gillick_001,﻿Rev.,﻿Philip Gillick,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0003,﻿church,﻿Holy Trinity Church,English,,,,,﻿Richmond County,﻿Augusta,﻿Augusta,﻿GA,﻿GA,33.47167613,-81.9668056,,,,﻿joh_barry_901,﻿Rev.,﻿John Barry,,,,,,,,1837,,,﻿https://themostholytrinity.org/our-history,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0006,﻿church,﻿Church of St. Philip and St. James,English,,,,,,﻿Columbus,﻿Columbus,﻿GA,,32.4609764,-84.9877094,,﻿[attended by] Rev. John MacGinnis,,﻿joh_mginnis_901,﻿Rev.,﻿John MacGinnis,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0006,﻿church,﻿Church of St. Philip and St. James,English,,,,,,﻿Columbus,﻿Columbus,﻿GA,,32.4609764,-84.9877094,,﻿[attended by] Rev. James Graham,,﻿jam_graham_901,﻿Rev.,﻿James Graham,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0004,﻿church,not recorded,English,,,,,,﻿Macon,﻿Macon,﻿GA,,32.8406946,-83.6324022,,﻿[attended by] Rev. John MacGinnis,,﻿joh_mginnis_901,﻿Rev.,﻿John MacGinnis,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0004,﻿church,not recorded,English,,,,,,﻿Macon,﻿Macon,﻿GA,,32.8406946,-83.6324022,,﻿[attended by] Rev. James Graham,,,﻿Rev.,﻿James Graham,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9003,﻿church,not recorded,English,,,﻿Western Counties,,,,,﻿GA,,32.8406946,-83.6324022,,﻿[attended by] Rev. John MacGinnis,,﻿joh_mginnis_901,﻿Rev.,﻿John MacGinnis,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.9003,﻿church,not recorded,English,,,﻿Western Counties,,,,,﻿GA,,32.8406946,-83.6324022,,﻿[attended by] Rev. James Graham,,﻿jam_graham_901,﻿Rev.,﻿James Graham,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0010,﻿church,﻿Church of the Purification,English,,,,﻿Warren County,﻿Henry County,﻿Locust Grove,﻿Locust Grove,﻿GA,﻿GA,33.54252264,-82.77668703,,﻿[attended by] M. D. O'Reilly,,﻿m_d_oreilly_901,﻿Rev.,﻿M. D. O'Reilly,,,,,,,,1837,,,﻿https://www.hrcga.org/church/locust-grove-catholic/,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0016,﻿church,not recorded,English,,,,,,﻿Milledgeville,,﻿GA,,33.54252264,-82.77668703,,﻿[attended by] M. D. O'Reilly,,﻿m_d_oreilly_901,﻿Rev.,﻿M. D. O'Reilly,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
﻿sav.ga.0012,﻿church,not recorded,English,,,,,,﻿Sparta,,﻿GA,,33.54252264,-82.77668703,,﻿[attended] by M. D. O'Reilly,,﻿m_d_oreilly_901,﻿Rev.,﻿M. D. O'Reilly,,,,,,,,1837,,,,,﻿,﻿,﻿Charleston,Charleston
