instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿lou.ky.0048,﻿church,not recorded,English,,,,,﻿Marion County,﻿Loretto,﻿Loretto,﻿KY,,37.6728593,-85.44784585,,,,﻿petit_901,﻿Rev.,﻿F. Petit,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿cov.ky.0023,﻿church,﻿St. Pius,English,,,,﻿Scott County,,﻿Frankfort,,﻿KY,,37.6728593,-85.44784585,,,,﻿s_a_drew_901,﻿Rev.,﻿S. A. Drew,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158_92,﻿church,﻿St. Rose,English,﻿Here is a convent of Dominicans,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,﻿KY,37.69318504,-85.26238897,,,,﻿miles_901,﻿Rev.,﻿Miles,,,,,,,,1836,﻿https://strosespringfield.org/about/history/,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158_92,﻿church,﻿St. Rose,English,﻿Here is a convent of Dominicans,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69318504,-85.26238897,,,,﻿polin_901,﻿Rev.,﻿Polin,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158_92,﻿church,﻿St. Rose,English,﻿Here is a convent of Dominicans,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69318504,-85.26238897,,,,﻿montgomery_901,﻿Rev.,﻿Montgomery,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0158_92,﻿church,﻿St. Rose,English,﻿Here is a convent of Dominicans,,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,,37.69318504,-85.26238897,,,,﻿clarkson_901,﻿Rev.,﻿Clarkson,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0091,﻿church,﻿St. Thomas,English,,,,,,,﻿Bardstown,﻿KY,﻿KY,37.76659691,-85.48401476,,,,﻿edw_clark_901,﻿Rev.,﻿Edward Clark,,,,,,,,1836,﻿https://www.saintthomasbardstown.org/ ; https://ia801606.us.archive.org/13/items/historicaltribut00howl/historicaltribut00howl.pdf,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9015,﻿church,not recorded,English,,,,﻿Meade County,,,,﻿KY,,37.76659691,-85.48401476,,,,﻿cha_coomes_901,﻿Rev.,﻿Charles J. Coomes,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9016,﻿church,not recorded,English,,,,﻿Perry County,,,,﻿KY,,37.76659691,-85.48401476,,,,﻿cha_coomes_901,﻿Rev.,﻿Charles J. Coomes,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9017,﻿church,not recorded,English,,,,﻿Grayson County,,,,﻿KY,,37.76659691,-85.48401476,,,,﻿f_chambige_901,﻿Rev.,﻿F. Chambige,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9018,﻿church,not recorded,English,,﻿Rudis Creek,,,,,,﻿KY,,37.76659691,-85.48401476,,,,﻿f_chambige_901,﻿Rev.,﻿F. Chambige,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9020,﻿church,not recorded,English,,﻿Cliffey's Creek,,,,,,﻿KY,,37.76659691,-85.48401476,,,,﻿f_chambige_901,﻿Rev.,﻿F. Chambige,,,,,,,,1836,"﻿There's is an area below Louisville that has some places called ""cliffs creek"" (campgrounds, creeks, etc.). For that reason, I placed this unknown in Louisville.",,,,﻿,﻿,﻿Bardstown,Bardstown
﻿nash.tn.9000,﻿church,not recorded,English,,,,,,﻿Nashville,,﻿TN,,36.16652078,-86.78395778,,﻿vacant,,﻿#REF!,,,,,,,,,,1836,"﻿https://www.hmdb.org/m.asp?m=36240 ; https://en.wikipedia.org/wiki/Cathedral_of_the_Incarnation_(Nashville,_Tennessee)",,,,﻿,﻿,﻿Bardstown,Bardstown
﻿nash.tn.9000,﻿church,not recorded,English,,,,,,﻿Nashville,,﻿TN,,36.16652078,-86.78395778,,,,﻿#REF!,,,,,,,,,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0105,﻿college,﻿St. Joseph's College,English,,,,,﻿Nelson County,﻿Bardstown,﻿Bardstown,﻿KY,﻿KY,37.81142142,-85.47126817,,,,﻿geo_a_elder_901,﻿Rev.,﻿Geo. A. M. Elder,,﻿President,,,,﻿conducted by Roman Catholic clergymen,,1836,"﻿No longer an active institution, now a whiskey museum. Here is info on its history: https://www.jesuits.org/our-work/shmr/what-we-have-learned/st-josephs-college-bardstown-kentucky/ ; https://en.wikipedia.org/wiki/Spalding_Hall",,"﻿The branches actually taught, are the languages, viz: Latin, Greek, French and Spanish, Mathematics, Latin and English Versification: Rhetoric, including composition and elocution, Mental Philosophy, Natural Philosophy, including the elements of Chemistry, Pneumatics, Electricity, Experimental Philosophy, History and Geography, with the use of the maps and globes, are taught with particular attention.",,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.9019,﻿college,﻿College of the Society of Jesus,English,,,,﻿Marion County,,﻿Lebanon,,﻿KY,,37.81142142,-85.47126817,,,,﻿chazelle_901,﻿Rev.,﻿Peter Chazelle,,﻿Superiour,,,,﻿[under the direction of] the Society of Jesus,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
﻿lou.ky.0107,﻿convent,not recorded,English,﻿convent of Dominicans,﻿St. Rose,,﻿Washington County,﻿Washington County,﻿Springfield,﻿Springfield,﻿KY,﻿KY,37.69344761,-85.26339642,,,,﻿miles_901,﻿Rev.,﻿F. Miles,,﻿Prior,,,,﻿[under the direction of] the Dominicans,,1836,,,,,﻿,﻿,﻿Bardstown,Bardstown
