instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿por.me.9002,﻿church,not recorded,English,,,,,﻿Lincoln County,﻿New Castle,﻿Newcastle,﻿ME,﻿ME,44.90647999,-66.99112765,,,﻿[visited] occasionally [by] Rev. P. M'Namee,﻿p_mcnamee_901,﻿Rev.,﻿P. M'Namee,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿por.me.0018,﻿church,not recorded,English,,,,,﻿Washington County,﻿Eastport,﻿Eastport,﻿ME,﻿ME,44.22862655,-69.61370611,,,﻿[visited] occasionally [by] Rev. Chs. French,﻿cha_french_901,﻿Rev.,﻿Chs. French,,,,,,,,1834,﻿https://sktparish.org/our-churches,,﻿,﻿,﻿Boston,Boston
﻿por.me.0080,﻿church,not recorded,English,,,,,﻿Lincoln County,﻿North Whitefield,,﻿ME,,44.94266034,-68.65218774,,,,﻿den_ryan_901,﻿Rev.,﻿Dennis Ryan,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿por.me.0023,﻿church,﻿St. Ann's,English,,,,,﻿Penobscot County,﻿Indian Old Town,﻿Old Town,﻿ME,﻿ME,44.80387965,-68.76104988,,,,﻿jam_conway_901,﻿Rev.,﻿James Conway,,,,,,,,1834,﻿https://en.wikipedia.org/wiki/St._Anne%27s_Church_and_Mission_Site ; https://www.resurrectionofthelord.org/parish-churches,,﻿,﻿,﻿Boston,Boston
﻿por.me.0007,﻿church,not recorded,English,,,,,﻿Penobscot County,﻿Bangor,,﻿ME,,44.95735175,-67.04537472,,,,﻿jam_conway_901,﻿Rev.,﻿James Conway,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿por.me.0032,﻿church,not recorded,English,,﻿Pleasant Point,,,﻿Washington County,,﻿Sipayik,﻿ME,﻿ME,,,,,,﻿m_desmilliers_901,﻿Rev. Mr.,﻿Desmilliers,,,,,,,,1834,﻿https://wabanaki.com/,,﻿,﻿,﻿Boston,Boston
﻿por.me.0032,﻿church,not recorded,English,,﻿Pleasant Point,,,﻿Washington County,,﻿Sipayik,﻿ME,,43.19893173,-70.87709059,,,,﻿ama_petithomme_901,﻿Rev. Mr.,﻿Petit-homme,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿por.me.0044,﻿church,﻿St. Aloysius,English,,,,,﻿Strafford County,﻿Dover,﻿Dover,﻿NH,﻿NH,43.37487954,-72.34191521,,,,﻿con_lee_901,﻿Rev. Mr.,﻿Lee,,,,,,,,1834,"﻿https://www.dover.nh.gov/government/city-operations/library/research-learn/historical-images/churches/st-marys-catholic-church.html ; https://files.ecatholic.com/36227/documents/2024/8/Parish%20History.pdf?t=1723736071000 ; went through a few name changes, but this is for sure the same church as shows up in the 1860s/1870s almanacs",,﻿,﻿,﻿Boston,Boston
﻿por.me.0041,﻿church,not recorded,English,,,,,﻿Sullivan County,﻿Claremont,﻿Claremont,﻿NH,﻿NH,44.48345335,-73.21474373,,,,﻿joh_d_brady_901,﻿Rev.,﻿J. Brady,,,,,,,,1834,﻿https://www.stmaryparishnh.org/Our-Parish/Parish-History,,﻿,﻿,﻿Boston,Boston
﻿bur.vt.0001,﻿church,﻿St. Mary's,English,,,,,﻿Chittenden County,﻿Burlington,﻿Burlington,﻿VT,﻿VT,43.7020659,-73.0121647,,,,﻿jer_ocallaghan_901,﻿Rev.,﻿Jer. O'Callaghan,,,,,,,,1834,"﻿https://en.wikipedia.org/wiki/Cathedral_of_the_Immaculate_Conception_(Burlington,_Vermont) ; https://vtgenlib.org/general/vtResearchInfo/catholic.php",,﻿,﻿,﻿Boston,Boston
﻿bur.vt.0041,﻿church,not recorded,English,,,,,﻿Rutland County,﻿Pittsford,,﻿VT,﻿VT,42.38777424,-71.08335499,,,,﻿sim_walsh_901,﻿Rev.,﻿Simon Walsh,,,,,,,,1834,,,﻿,﻿,﻿Boston,Boston
﻿bos.ma.9000,"﻿convent, school",﻿Ursuline Community,English,,﻿Mount Benedict,,,﻿Suffolk County,﻿Charlestown,﻿Somerville,﻿MA,﻿MA,42.38726846,-71.08011346,,,,,,,,,,,,,,1834,"﻿This place no longer exists because it was burned down by a 1830s attack by Protestants: https://en.wikipedia.org/wiki/Ursuline_Convent_riots , https://historicipswich.net/2025/03/06/boston-irish-long-remembered-the-1834-charlestown-convent-fire/","﻿Reading, Writing, Grammar, Arithmetic, Georgraphy, History (ancient and modern), Orthography, plain and fancy needle-work, ornamental writing, prose and poetry composition, ancient and modern history, chronology, mythology, use of Globes, astronomy, rhetoric, logic, natural and moral philosophy, chemistry, arithmetic, geometry, botany, japanning, drawing, painting in oil colours and on velvet satin and wood mezzotinto and poonah, music",﻿,﻿,﻿Boston,Boston
﻿bos.ma.9003,﻿free school,not recorded,English,,,,,﻿Suffolk County,﻿Boston,,﻿MA,,,,,,,,,,,,,﻿sister,﻿3 sisters,﻿Sisters of Charity,,1834,"﻿https://www.thebostonpilot.com/article.php?ID=183777#:~:text=The%20Daughters%20of%20Charity%20were,Nazareth%20Child%20Care%20Center;%20St.",,﻿,﻿,﻿Boston,Boston
